station_name,station_code,line_name,facility_type,facility_label,nearby_entrance_no,location,operation_status
불광,0312,3호선,elevator,엘리베이터,3,3번 출입구,M
녹번,0313,3호선,elevator,엘리베이터,내부,"불광 방면3-1, 홍제 방면8-4",M
녹번,0313,3호선,elevator,엘리베이터,3,3번 출입구,M
연신내,0311,3호선,elevator,엘리베이터,내부,"구파발 방면6-1, 불광 방면5-4",M
녹번,0313,3호선,elevator,엘리베이터,1,1번 출입구,M
불광,0312,3호선,elevator,엘리베이터,내부,연신내 방면3-3,M
불광,0312,3호선,elevator,엘리베이터,내부,녹번 방면8-2,M
불광,0312,3호선,elevator,엘리베이터,1,1번 출입구,M
응암,2611,6호선,elevator,엘리베이터,4,4번 출입구,M
독바위,2614,6호선,elevator,엘리베이터,1,1번 출입구,M
연신내,2615,6호선,elevator,엘리베이터,내부,구산 방면6-2,M
연신내,2615,6호선,elevator,엘리베이터,6,6번 출입구,M
응암,2611,6호선,elevator,엘리베이터,내부,"역촌 방면5-2, 새절 방면4-2",M
불광,2613,6호선,elevator,엘리베이터,내부,독바위 방면5-2,M
불광,2613,6호선,elevator,엘리베이터,내부,독바위 방면4-1,M
불광,2613,6호선,elevator,엘리베이터,8,8번 출입구,M
독바위,2614,6호선,elevator,엘리베이터,내부,연신내 방면3-2,M
불광,2613,6호선,wheelchair_lift,휠체어리프트,내부,,M
불광,2613,6호선,wheelchair_lift,휠체어리프트,내부,,M
