od_id,station,station_line,station_lon,station_lat,facility_source,facility_name,facility_address,facility_lon,facility_lat,straight_line_distance_m,station_node,facility_node,station_snap_distance_m,facility_snap_distance_m,snap_status,route_id,route_type,node_sequence,edge_sequence,node_count,edge_count,route_length_m,steps_count,flood_feature_count_2022,flood_overlap_length_m_2022,flood_feature_count_2023,flood_overlap_length_m_2023,flood_feature_count_2024,flood_overlap_length_m_2024,flood_feature_count_2025,flood_overlap_length_m_2025,flood_feature_count_unique_total,flood_overlap_length_m_total,flood_overlap_ratio
od_2326,불광,3호선,126.92982,37.610553,mobility_facility,바르티매오공동생활가정,서울특별시 은평구 불광로9가길 4,126.9315,37.6166,687.347,5930698997,3819769687,50.20980174135544,12.83310201982499,PASS,od_2326_baseline,baseline,"[5930698997, 11228575654, 457819071, 5281045186, 5281045188, 5281045187, 5281045189, 3279011082, 436849310, 353195249, 3819769163, 4580205446, 3279011087, 3819769307, 5281044435, 5281044436, 5281044434, 436849314, 445329900, 3824954063, 3819769661, 3819769668, 3819769672, 3819769687]","[[5930698997, 11228575654], [11228575654, 457819071], [457819071, 5281045186], [5281045186, 5281045188], [5281045188, 5281045187], [5281045187, 5281045189], [5281045189, 3279011082], [3279011082, 436849310], [436849310, 353195249], [353195249, 3819769163], [3819769163, 4580205446], [4580205446, 3279011087], [3279011087, 3819769307], [3819769307, 5281044435], [5281044435, 5281044436], [5281044436, 5281044434], [5281044434, 436849314], [436849314, 445329900], [445329900, 3824954063], [3824954063, 3819769661], [3819769661, 3819769668], [3819769668, 3819769672], [3819769672, 3819769687]]",24,23,853.368,0,2,27.266,0,0.0,0,0.0,3,47.503,5,74.769,0.087617
od_937,불광,6호선,126.92939,37.610873,mobility_facility,바르티매오공동생활가정,서울특별시 은평구 불광로9가길 4,126.9315,37.6166,662.373,5930698997,3819769687,11.603222454866666,12.83310201982499,PASS,od_937_baseline,baseline,"[5930698997, 11228575654, 457819071, 5281045186, 5281045188, 5281045187, 5281045189, 3279011082, 436849310, 353195249, 3819769163, 4580205446, 3279011087, 3819769307, 5281044435, 5281044436, 5281044434, 436849314, 445329900, 3824954063, 3819769661, 3819769668, 3819769672, 3819769687]","[[5930698997, 11228575654], [11228575654, 457819071], [457819071, 5281045186], [5281045186, 5281045188], [5281045188, 5281045187], [5281045187, 5281045189], [5281045189, 3279011082], [3279011082, 436849310], [436849310, 353195249], [353195249, 3819769163], [3819769163, 4580205446], [4580205446, 3279011087], [3279011087, 3819769307], [3819769307, 5281044435], [5281044435, 5281044436], [5281044436, 5281044434], [5281044434, 436849314], [436849314, 445329900], [445329900, 3824954063], [3824954063, 3819769661], [3819769661, 3819769668], [3819769668, 3819769672], [3819769672, 3819769687]]",24,23,853.368,0,2,27.266,0,0.0,0,0.0,3,47.503,5,74.769,0.087617
od_2803,연신내,3호선,126.921038,37.619229,mobility_facility,바르티매오공동생활가정,서울특별시 은평구 불광로9가길 4,126.9315,37.6166,968.645,13357342120,3819769687,32.16422242836125,12.83310201982499,PASS,od_2803_baseline,baseline,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 3819769883, 3819769902, 3819769898, 3819769860, 3819769843, 3819769828, 4580162913, 3819769809, 3819769789, 10682009303, 10682086042, 10682086137, 10682086212, 10682086342, 10682086075, 10682086215, 10682009304, 353195079, 3819769520, 3819769514, 3819769496, 3819769490, 445329900, 3824954063, 3819769661, 3819769668, 3819769672, 3819769687]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 3819769883], [3819769883, 3819769902], [3819769902, 3819769898], [3819769898, 3819769860], [3819769860, 3819769843], [3819769843, 3819769828], [3819769828, 4580162913], [4580162913, 3819769809], [3819769809, 3819769789], [3819769789, 10682009303], [10682009303, 10682086042], [10682086042, 10682086137], [10682086137, 10682086212], [10682086212, 10682086342], [10682086342, 10682086075], [10682086075, 10682086215], [10682086215, 10682009304], [10682009304, 353195079], [353195079, 3819769520], [3819769520, 3819769514], [3819769514, 3819769496], [3819769496, 3819769490], [3819769490, 445329900], [445329900, 3824954063], [3824954063, 3819769661], [3819769661, 3819769668], [3819769668, 3819769672], [3819769672, 3819769687]]",33,32,1543.385,0,2,27.266,0,0.0,0,0.0,3,47.503,5,74.769,0.048445
od_158,연신내,6호선,126.920625,37.618636,mobility_facility,바르티매오공동생활가정,서울특별시 은평구 불광로9가길 4,126.9315,37.6166,986.351,11230505686,3819769687,20.028299588559467,12.83310201982499,PASS,od_158_baseline,baseline,"[11230505686, 11663495477, 13357321496, 11178032838, 2960309144, 3819769883, 3819769902, 3819769898, 3819769860, 3819769843, 3819769828, 4580162913, 3819769809, 3819769789, 10682009303, 10682086042, 10682086137, 10682086212, 10682086342, 10682086075, 10682086215, 10682009304, 353195079, 3819769520, 3819769514, 3819769496, 3819769490, 445329900, 3824954063, 3819769661, 3819769668, 3819769672, 3819769687]","[[11230505686, 11663495477], [11663495477, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 3819769883], [3819769883, 3819769902], [3819769902, 3819769898], [3819769898, 3819769860], [3819769860, 3819769843], [3819769843, 3819769828], [3819769828, 4580162913], [4580162913, 3819769809], [3819769809, 3819769789], [3819769789, 10682009303], [10682009303, 10682086042], [10682086042, 10682086137], [10682086137, 10682086212], [10682086212, 10682086342], [10682086342, 10682086075], [10682086075, 10682086215], [10682086215, 10682009304], [10682009304, 353195079], [353195079, 3819769520], [3819769520, 3819769514], [3819769514, 3819769496], [3819769496, 3819769490], [3819769490, 445329900], [445329900, 3824954063], [3824954063, 3819769661], [3819769661, 3819769668], [3819769668, 3819769672], [3819769672, 3819769687]]",33,32,1557.661,0,2,27.266,0,0.0,0,0.0,3,47.503,5,74.769,0.048001
od_2838,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 불광동  90-8,126.9284,37.6257,968.623,13357342120,3823588661,32.16422242836125,37.440100324683726,PASS,od_2838_baseline,baseline,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586821, 5279886140, 3823586890, 3819770060, 3819770062, 3819770064, 3819770067, 5279886141, 3823586999, 2960308646, 307924211, 3823587261, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586821], [3823586821, 5279886140], [5279886140, 3823586890], [3823586890, 3819770060], [3819770060, 3819770062], [3819770062, 3819770064], [3819770064, 3819770067], [3819770067, 5279886141], [5279886141, 3823586999], [3823586999, 2960308646], [2960308646, 307924211], [307924211, 3823587261], [3823587261, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",34,33,1145.926,0,2,15.544,0,0.0,0,0.0,1,7.802,3,23.346,0.020373
od_2825,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 불광동  90-8,126.9282,37.6258,965.224,13357342120,3823588661,32.16422242836125,16.64976846622106,PASS,od_2825_baseline,baseline,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586821, 5279886140, 3823586890, 3819770060, 3819770062, 3819770064, 3819770067, 5279886141, 3823586999, 2960308646, 307924211, 3823587261, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586821], [3823586821, 5279886140], [5279886140, 3823586890], [3823586890, 3819770060], [3819770060, 3819770062], [3819770062, 3819770064], [3819770064, 3819770067], [3819770067, 5279886141], [5279886141, 3823586999], [3823586999, 2960308646], [2960308646, 307924211], [307924211, 3823587261], [3823587261, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",34,33,1145.926,0,2,15.544,0,0.0,0,0.0,1,7.802,3,23.346,0.020373
od_2851,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 연서로41길 6,126.9282,37.6258,965.224,13357342120,3823588661,32.16422242836125,16.64976846622106,PASS,od_2851_baseline,baseline,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586821, 5279886140, 3823586890, 3819770060, 3819770062, 3819770064, 3819770067, 5279886141, 3823586999, 2960308646, 307924211, 3823587261, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586821], [3823586821, 5279886140], [5279886140, 3823586890], [3823586890, 3819770060], [3819770060, 3819770062], [3819770062, 3819770064], [3819770064, 3819770067], [3819770067, 5279886141], [5279886141, 3823586999], [3823586999, 2960308646], [2960308646, 307924211], [307924211, 3823587261], [3823587261, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",34,33,1145.926,0,2,15.544,0,0.0,0,0.0,1,7.802,3,23.346,0.020373
od_2822,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 연서로 347,126.928,37.6259,962.265,13357342120,3823588661,32.16422242836125,4.520643736324227,PASS,od_2822_baseline,baseline,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586821, 5279886140, 3823586890, 3819770060, 3819770062, 3819770064, 3819770067, 5279886141, 3823586999, 2960308646, 307924211, 3823587261, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586821], [3823586821, 5279886140], [5279886140, 3823586890], [3823586890, 3819770060], [3819770060, 3819770062], [3819770062, 3819770064], [3819770064, 3819770067], [3819770067, 5279886141], [5279886141, 3823586999], [3823586999, 2960308646], [2960308646, 307924211], [307924211, 3823587261], [3823587261, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",34,33,1145.926,0,2,15.544,0,0.0,0,0.0,1,7.802,3,23.346,0.020373
od_3057,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 불광동  73-8,126.928,37.6259,962.265,13357342120,3823588661,32.16422242836125,4.520643736324227,PASS,od_3057_baseline,baseline,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586821, 5279886140, 3823586890, 3819770060, 3819770062, 3819770064, 3819770067, 5279886141, 3823586999, 2960308646, 307924211, 3823587261, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586821], [3823586821, 5279886140], [5279886140, 3823586890], [3823586890, 3819770060], [3819770060, 3819770062], [3819770062, 3819770064], [3819770064, 3819770067], [3819770067, 5279886141], [5279886141, 3823586999], [3823586999, 2960308646], [2960308646, 307924211], [307924211, 3823587261], [3823587261, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",34,33,1145.926,0,2,15.544,0,0.0,0,0.0,1,7.802,3,23.346,0.020373
od_194,연신내,6호선,126.920625,37.618636,pedestrian_support_point,빗물받이,서울특별시 은평구 불광동  90-8,126.9284,37.6257,1042.031,11230505686,3823588661,20.028299588559467,37.440100324683726,PASS,od_194_baseline,baseline,"[11230505686, 11663495477, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586821, 5279886140, 3823586890, 3819770060, 3819770062, 3819770064, 3819770067, 5279886141, 3823586999, 2960308646, 307924211, 3823587261, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[11230505686, 11663495477], [11663495477, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586821], [3823586821, 5279886140], [5279886140, 3823586890], [3823586890, 3819770060], [3819770060, 3819770062], [3819770062, 3819770064], [3819770064, 3819770067], [3819770067, 5279886141], [5279886141, 3823586999], [3823586999, 2960308646], [2960308646, 307924211], [307924211, 3823587261], [3823587261, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",34,33,1160.202,0,2,15.544,0,0.0,0,0.0,1,7.802,3,23.346,0.020122
