od_id,station,station_line,station_lon,station_lat,facility_source,facility_name,facility_address,facility_lon,facility_lat,straight_line_distance_m,station_node,facility_node,station_snap_distance_m,facility_snap_distance_m,snap_status,route_id,route_type,node_sequence,edge_sequence,node_count,edge_count,route_length_m,steps_count,flood_feature_count_2022,flood_overlap_length_m_2022,flood_feature_count_2023,flood_overlap_length_m_2023,flood_feature_count_2024,flood_overlap_length_m_2024,flood_feature_count_2025,flood_overlap_length_m_2025,flood_feature_count_unique_total,flood_overlap_length_m_total,flood_overlap_ratio,mobility_facility_count_near_route,support_point_count_near_route,existing_safe_route_overlap_or_proximity_count,method,baseline_length_m,alternative_length_m,distance_delta_m,distance_delta_ratio,baseline_flood_overlap_length_m,alternative_flood_overlap_length_m,flood_overlap_reduction_m,flood_overlap_reduction_ratio,baseline_flood_feature_count,alternative_flood_feature_count,historical_flood_trace_avoiding_candidate
od_2326,불광,3호선,126.92982,37.610553,mobility_facility,바르티매오공동생활가정,서울특별시 은평구 불광로9가길 4,126.9315,37.6166,687.347,5930698997,3819769687,50.20980174135544,12.83310201982499,PASS,od_2326_k_shortest_alternative_1,k_shortest_alternative_1,"[5930698997, 11228575654, 457819071, 5281045186, 5281045188, 5281045187, 5281045189, 3279011082, 436849310, 353195249, 3819769163, 4580205446, 3279011087, 3819769307, 5281044435, 5281044436, 3819769396, 3819769490, 445329900, 3824954063, 3819769661, 3819769668, 3819769719, 3819769703, 3819769687]","[[5930698997, 11228575654], [11228575654, 457819071], [457819071, 5281045186], [5281045186, 5281045188], [5281045188, 5281045187], [5281045187, 5281045189], [5281045189, 3279011082], [3279011082, 436849310], [436849310, 353195249], [353195249, 3819769163], [3819769163, 4580205446], [4580205446, 3279011087], [3279011087, 3819769307], [3819769307, 5281044435], [5281044435, 5281044436], [5281044436, 3819769396], [3819769396, 3819769490], [3819769490, 445329900], [445329900, 3824954063], [3824954063, 3819769661], [3819769661, 3819769668], [3819769668, 3819769719], [3819769719, 3819769703], [3819769703, 3819769687]]",25,24,927.874,0,4,44.346,0,0.0,0,0.0,2,21.552,6,65.898,0.07102,15,10,7,k_shortest,853.368,927.874,74.506,0.087308,74.769,65.898,8.871,0.118645,5,6,True
od_2326,불광,3호선,126.92982,37.610553,mobility_facility,바르티매오공동생활가정,서울특별시 은평구 불광로9가길 4,126.9315,37.6166,687.347,5930698997,3819769687,50.20980174135544,12.83310201982499,PASS,od_2326_k_shortest_alternative_2,k_shortest_alternative_2,"[5930698997, 11228575654, 457819071, 5281045186, 5281045188, 5281045187, 5281045189, 3279011082, 436849310, 353195249, 3819769163, 4580205446, 3279011087, 3824954033, 3824954047, 3824954051, 5281044434, 436849314, 445329900, 3824954063, 3819769661, 3819769668, 3819769672, 3819769687]","[[5930698997, 11228575654], [11228575654, 457819071], [457819071, 5281045186], [5281045186, 5281045188], [5281045188, 5281045187], [5281045187, 5281045189], [5281045189, 3279011082], [3279011082, 436849310], [436849310, 353195249], [353195249, 3819769163], [3819769163, 4580205446], [4580205446, 3279011087], [3279011087, 3824954033], [3824954033, 3824954047], [3824954047, 3824954051], [3824954051, 5281044434], [5281044434, 436849314], [436849314, 445329900], [445329900, 3824954063], [3824954063, 3819769661], [3819769661, 3819769668], [3819769668, 3819769672], [3819769672, 3819769687]]",24,23,951.381,0,2,27.266,0,0.0,0,0.0,3,47.503,5,74.769,0.07859,8,10,7,k_shortest,853.368,951.381,98.013,0.114854,74.769,74.769,0.0,0.0,5,5,False
od_2326,불광,3호선,126.92982,37.610553,mobility_facility,바르티매오공동생활가정,서울특별시 은평구 불광로9가길 4,126.9315,37.6166,687.347,5930698997,3819769687,50.20980174135544,12.83310201982499,PASS,od_2326_k_shortest_alternative_3,k_shortest_alternative_3,"[5930698997, 11228575654, 11296481755, 3819768907, 13378638850, 3819768960, 5281045187, 5281045189, 3279011082, 436849310, 353195249, 3819769163, 4580205446, 3279011087, 3819769307, 5281044435, 5281044436, 5281044434, 436849314, 445329900, 3824954063, 3819769661, 3819769668, 3819769672, 3819769687]","[[5930698997, 11228575654], [11228575654, 11296481755], [11296481755, 3819768907], [3819768907, 13378638850], [13378638850, 3819768960], [3819768960, 5281045187], [5281045187, 5281045189], [5281045189, 3279011082], [3279011082, 436849310], [436849310, 353195249], [353195249, 3819769163], [3819769163, 4580205446], [4580205446, 3279011087], [3279011087, 3819769307], [3819769307, 5281044435], [5281044435, 5281044436], [5281044436, 5281044434], [5281044434, 436849314], [436849314, 445329900], [445329900, 3824954063], [3824954063, 3819769661], [3819769661, 3819769668], [3819769668, 3819769672], [3819769672, 3819769687]]",25,24,953.832,0,2,27.266,0,0.0,0,0.0,3,47.503,5,74.769,0.078388,16,6,7,k_shortest,853.368,953.832,100.464,0.117726,74.769,74.769,0.0,0.0,5,5,False
od_2326,불광,3호선,126.92982,37.610553,mobility_facility,바르티매오공동생활가정,서울특별시 은평구 불광로9가길 4,126.9315,37.6166,687.347,5930698997,3819769687,50.20980174135544,12.83310201982499,PASS,od_2326_k_shortest_alternative_4,k_shortest_alternative_4,"[5930698997, 11228575654, 457819071, 5281045186, 5281045188, 5281045187, 5281045189, 3279011082, 436849310, 353195249, 3819769163, 4580205446, 3279011087, 3819769307, 5281044435, 3819769369, 3819769373, 3819769405, 3819769396, 3819769490, 445329900, 3824954063, 3819769661, 3819769668, 3819769672, 3819769687]","[[5930698997, 11228575654], [11228575654, 457819071], [457819071, 5281045186], [5281045186, 5281045188], [5281045188, 5281045187], [5281045187, 5281045189], [5281045189, 3279011082], [3279011082, 436849310], [436849310, 353195249], [353195249, 3819769163], [3819769163, 4580205446], [4580205446, 3279011087], [3279011087, 3819769307], [3819769307, 5281044435], [5281044435, 3819769369], [3819769369, 3819769373], [3819769373, 3819769405], [3819769405, 3819769396], [3819769396, 3819769490], [3819769490, 445329900], [445329900, 3824954063], [3824954063, 3819769661], [3819769661, 3819769668], [3819769668, 3819769672], [3819769672, 3819769687]]",26,25,971.775,0,2,27.266,0,0.0,0,0.0,3,47.503,5,74.769,0.076941,14,10,7,k_shortest,853.368,971.775,118.407,0.138753,74.769,74.769,0.0,0.0,5,5,False
od_937,불광,6호선,126.92939,37.610873,mobility_facility,바르티매오공동생활가정,서울특별시 은평구 불광로9가길 4,126.9315,37.6166,662.373,5930698997,3819769687,11.603222454866666,12.83310201982499,PASS,od_937_k_shortest_alternative_1,k_shortest_alternative_1,"[5930698997, 11228575654, 457819071, 5281045186, 5281045188, 5281045187, 5281045189, 3279011082, 436849310, 353195249, 3819769163, 4580205446, 3279011087, 3819769307, 5281044435, 5281044436, 3819769396, 3819769490, 445329900, 3824954063, 3819769661, 3819769668, 3819769719, 3819769703, 3819769687]","[[5930698997, 11228575654], [11228575654, 457819071], [457819071, 5281045186], [5281045186, 5281045188], [5281045188, 5281045187], [5281045187, 5281045189], [5281045189, 3279011082], [3279011082, 436849310], [436849310, 353195249], [353195249, 3819769163], [3819769163, 4580205446], [4580205446, 3279011087], [3279011087, 3819769307], [3819769307, 5281044435], [5281044435, 5281044436], [5281044436, 3819769396], [3819769396, 3819769490], [3819769490, 445329900], [445329900, 3824954063], [3824954063, 3819769661], [3819769661, 3819769668], [3819769668, 3819769719], [3819769719, 3819769703], [3819769703, 3819769687]]",25,24,927.874,0,4,44.346,0,0.0,0,0.0,2,21.552,6,65.898,0.07102,15,10,7,k_shortest,853.368,927.874,74.506,0.087308,74.769,65.898,8.871,0.118645,5,6,True
od_937,불광,6호선,126.92939,37.610873,mobility_facility,바르티매오공동생활가정,서울특별시 은평구 불광로9가길 4,126.9315,37.6166,662.373,5930698997,3819769687,11.603222454866666,12.83310201982499,PASS,od_937_k_shortest_alternative_2,k_shortest_alternative_2,"[5930698997, 11228575654, 457819071, 5281045186, 5281045188, 5281045187, 5281045189, 3279011082, 436849310, 353195249, 3819769163, 4580205446, 3279011087, 3824954033, 3824954047, 3824954051, 5281044434, 436849314, 445329900, 3824954063, 3819769661, 3819769668, 3819769672, 3819769687]","[[5930698997, 11228575654], [11228575654, 457819071], [457819071, 5281045186], [5281045186, 5281045188], [5281045188, 5281045187], [5281045187, 5281045189], [5281045189, 3279011082], [3279011082, 436849310], [436849310, 353195249], [353195249, 3819769163], [3819769163, 4580205446], [4580205446, 3279011087], [3279011087, 3824954033], [3824954033, 3824954047], [3824954047, 3824954051], [3824954051, 5281044434], [5281044434, 436849314], [436849314, 445329900], [445329900, 3824954063], [3824954063, 3819769661], [3819769661, 3819769668], [3819769668, 3819769672], [3819769672, 3819769687]]",24,23,951.381,0,2,27.266,0,0.0,0,0.0,3,47.503,5,74.769,0.07859,8,10,7,k_shortest,853.368,951.381,98.013,0.114854,74.769,74.769,0.0,0.0,5,5,False
od_937,불광,6호선,126.92939,37.610873,mobility_facility,바르티매오공동생활가정,서울특별시 은평구 불광로9가길 4,126.9315,37.6166,662.373,5930698997,3819769687,11.603222454866666,12.83310201982499,PASS,od_937_k_shortest_alternative_3,k_shortest_alternative_3,"[5930698997, 11228575654, 11296481755, 3819768907, 13378638850, 3819768960, 5281045187, 5281045189, 3279011082, 436849310, 353195249, 3819769163, 4580205446, 3279011087, 3819769307, 5281044435, 5281044436, 5281044434, 436849314, 445329900, 3824954063, 3819769661, 3819769668, 3819769672, 3819769687]","[[5930698997, 11228575654], [11228575654, 11296481755], [11296481755, 3819768907], [3819768907, 13378638850], [13378638850, 3819768960], [3819768960, 5281045187], [5281045187, 5281045189], [5281045189, 3279011082], [3279011082, 436849310], [436849310, 353195249], [353195249, 3819769163], [3819769163, 4580205446], [4580205446, 3279011087], [3279011087, 3819769307], [3819769307, 5281044435], [5281044435, 5281044436], [5281044436, 5281044434], [5281044434, 436849314], [436849314, 445329900], [445329900, 3824954063], [3824954063, 3819769661], [3819769661, 3819769668], [3819769668, 3819769672], [3819769672, 3819769687]]",25,24,953.832,0,2,27.266,0,0.0,0,0.0,3,47.503,5,74.769,0.078388,16,6,7,k_shortest,853.368,953.832,100.464,0.117726,74.769,74.769,0.0,0.0,5,5,False
od_937,불광,6호선,126.92939,37.610873,mobility_facility,바르티매오공동생활가정,서울특별시 은평구 불광로9가길 4,126.9315,37.6166,662.373,5930698997,3819769687,11.603222454866666,12.83310201982499,PASS,od_937_k_shortest_alternative_4,k_shortest_alternative_4,"[5930698997, 11228575654, 457819071, 5281045186, 5281045188, 5281045187, 5281045189, 3279011082, 436849310, 353195249, 3819769163, 4580205446, 3279011087, 3819769307, 5281044435, 3819769369, 3819769373, 3819769405, 3819769396, 3819769490, 445329900, 3824954063, 3819769661, 3819769668, 3819769672, 3819769687]","[[5930698997, 11228575654], [11228575654, 457819071], [457819071, 5281045186], [5281045186, 5281045188], [5281045188, 5281045187], [5281045187, 5281045189], [5281045189, 3279011082], [3279011082, 436849310], [436849310, 353195249], [353195249, 3819769163], [3819769163, 4580205446], [4580205446, 3279011087], [3279011087, 3819769307], [3819769307, 5281044435], [5281044435, 3819769369], [3819769369, 3819769373], [3819769373, 3819769405], [3819769405, 3819769396], [3819769396, 3819769490], [3819769490, 445329900], [445329900, 3824954063], [3824954063, 3819769661], [3819769661, 3819769668], [3819769668, 3819769672], [3819769672, 3819769687]]",26,25,971.775,0,2,27.266,0,0.0,0,0.0,3,47.503,5,74.769,0.076941,14,10,7,k_shortest,853.368,971.775,118.407,0.138753,74.769,74.769,0.0,0.0,5,5,False
od_2803,연신내,3호선,126.921038,37.619229,mobility_facility,바르티매오공동생활가정,서울특별시 은평구 불광로9가길 4,126.9315,37.6166,968.645,13357342120,3819769687,32.16422242836125,12.83310201982499,PASS,od_2803_k_shortest_alternative_1,k_shortest_alternative_1,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 3819769883, 11296481771, 3819769766, 11228575652, 3819769749, 11228575779, 11228574068, 11228575767, 11228574126, 11228574122, 8370552973, 8370552942, 8370552943, 8370552950, 8370553057, 8370552966, 10682085912, 10682086049, 10682085987, 10682086342, 10682086075, 10682086215, 10682009304, 353195079, 3819769520, 3819769514, 3819769496, 3819769490, 445329900, 3824954063, 3819769661, 3819769668, 3819769672, 3819769687]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 3819769883], [3819769883, 11296481771], [11296481771, 3819769766], [3819769766, 11228575652], [11228575652, 3819769749], [3819769749, 11228575779], [11228575779, 11228574068], [11228574068, 11228575767], [11228575767, 11228574126], [11228574126, 11228574122], [11228574122, 8370552973], [8370552973, 8370552942], [8370552942, 8370552943], [8370552943, 8370552950], [8370552950, 8370553057], [8370553057, 8370552966], [8370552966, 10682085912], [10682085912, 10682086049], [10682086049, 10682085987], [10682085987, 10682086342], [10682086342, 10682086075], [10682086075, 10682086215], [10682086215, 10682009304], [10682009304, 353195079], [353195079, 3819769520], [3819769520, 3819769514], [3819769514, 3819769496], [3819769496, 3819769490], [3819769490, 445329900], [445329900, 3824954063], [3824954063, 3819769661], [3819769661, 3819769668], [3819769668, 3819769672], [3819769672, 3819769687]]",39,38,1604.479,0,2,27.266,0,0.0,0,0.0,3,47.503,5,74.769,0.0466,6,8,11,k_shortest,1543.385,1604.479,61.094,0.039584,74.769,74.769,0.0,0.0,5,5,False
od_2838,연신내,3호선,126.921038,37.619229,pedestrian_support_point,빗물받이,서울특별시 은평구 불광동  90-8,126.9284,37.6257,968.623,13357342120,3823588661,32.16422242836125,37.440100324683726,PASS,od_2838_k_shortest_alternative_1,k_shortest_alternative_1,"[13357342120, 13357342121, 13357321496, 11178032838, 2960309144, 2960309145, 3819769990, 3823586772, 3819770024, 3823586798, 3823586835, 3823586851, 4576632337, 4576632338, 3823586989, 3823587003, 307924223, 3823587092, 3823587175, 3823587253, 3823587427, 4576617363, 3823587534, 3823587543, 3823587717, 3823587759, 3823587858, 3823587888, 3823587936, 3823588078, 4576650759, 4576620663, 3823588370, 3823588613, 3823588638, 3823588661]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 11178032838], [11178032838, 2960309144], [2960309144, 2960309145], [2960309145, 3819769990], [3819769990, 3823586772], [3823586772, 3819770024], [3819770024, 3823586798], [3823586798, 3823586835], [3823586835, 3823586851], [3823586851, 4576632337], [4576632337, 4576632338], [4576632338, 3823586989], [3823586989, 3823587003], [3823587003, 307924223], [307924223, 3823587092], [3823587092, 3823587175], [3823587175, 3823587253], [3823587253, 3823587427], [3823587427, 4576617363], [4576617363, 3823587534], [3823587534, 3823587543], [3823587543, 3823587717], [3823587717, 3823587759], [3823587759, 3823587858], [3823587858, 3823587888], [3823587888, 3823587936], [3823587936, 3823588078], [3823588078, 4576650759], [4576650759, 4576620663], [4576620663, 3823588370], [3823588370, 3823588613], [3823588613, 3823588638], [3823588638, 3823588661]]",36,35,1153.657,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,6,12,20,k_shortest,1145.926,1153.657,7.731,0.006747,23.346,0.0,23.346,1.0,3,0,True
