"od","route_role","origin","destination","through_station","station_sequence","station_line_sequence","line_sequence","total_distance","totalReqHr_raw","transfer_count","segment_count","flood_unique_total","flood_station_sum","flood_duplicates_removed","missing_elevator_station_count","all_stations_have_elevator","mobility_facility_count","pedestrian_safe_route_linestring_count","pedestrian_support_point_count","distance_delta","req_hr_raw_delta","flood_unique_reduction","valid_moveon_alternative"
"녹번->독바위","baseline","녹번","독바위",,"녹번>불광>불광>독바위","3호선>3호선>6호선>6호선","3호선>6호선","2100","402","1","3","72","95","23","0","True","54","96","129",,,,
"녹번->독바위","alternative","녹번","독바위","연신내","녹번>불광>불광>독바위>연신내>연신내>불광>불광>독바위","3호선>3호선>6호선>6호선>6호선>3호선>3호선>6호선>6호선","3호선>6호선","5981","1287","3","8","145","325","180","0","True","145","196","329","3881","885","-73","False"
"녹번->독바위","alternative","녹번","독바위","응암","녹번>불광>불광>독바위>연신내>구산>응암>새절>증산>디지털미디어시티>월드컵경기장>마포구청>망원>합정>합정>홍대입구>신촌>이대>아현>충정로>시청>을지로입구>을지로3가>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광>불광>독바위","3호선>3호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>6호선>6호선","3호선>6호선>2호선","29931","3366","4","33","160","278","118","24","False","152","236","328","27831","2964","-88","False"
"녹번->불광","baseline","녹번","불광",,"녹번>불광","3호선>3호선","3호선","1100","90","0","1","26","26","0","0","True","31","59","66",,,,
"녹번->불광","alternative","녹번","불광","독바위","녹번>불광>불광>독바위>연신내>연신내>불광","3호선>3호선>6호선>6호선>6호선>3호선>3호선","3호선>6호선","4981","969","2","6","145","256","111","0","True","122","159","266","3881","879","-119","False"
"녹번->불광","alternative","녹번","불광","연신내","녹번>불광>불광>독바위>연신내>연신내>불광","3호선>3호선>6호선>6호선>6호선>3호선>3호선","3호선>6호선","4981","969","2","6","145","256","111","0","True","122","159","266","3881","879","-119","False"
"녹번->불광","alternative","녹번","불광","응암","녹번>불광>불광>독바위>연신내>구산>응암>새절>증산>디지털미디어시티>월드컵경기장>마포구청>망원>합정>합정>홍대입구>신촌>이대>아현>충정로>시청>을지로입구>을지로3가>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광","3호선>3호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선","3호선>6호선>2호선","28931","3054","3","31","160","209","49","24","False","129","199","265","27831","2964","-134","False"
"녹번->연신내","baseline","녹번","연신내",,"녹번>불광>연신내","3호선>3호선>3호선","3호선","2400","180","0","2","94","94","0","0","True","55","78","109",,,,
"녹번->연신내","alternative","녹번","연신내","독바위","녹번>불광>불광>독바위>연신내","3호선>3호선>6호선>6호선>6호선","3호선>6호선","3500","532","1","4","142","165","23","0","True","79","115","175","1100","352","-48","False"
"녹번->연신내","alternative","녹번","연신내","응암","녹번>불광>불광>독바위>연신내>구산>응암>새절>증산>디지털미디어시티>월드컵경기장>마포구청>망원>합정>합정>홍대입구>신촌>이대>아현>충정로>시청>을지로입구>을지로3가>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광>연신내","3호선>3호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선","3호선>6호선>2호선","30231","3144","3","32","163","277","114","24","False","153","218","308","27831","2964","-69","False"
"녹번->응암","baseline","녹번","응암",,"녹번>불광>불광>독바위>연신내>구산>응암","3호선>3호선>6호선>6호선>6호선>6호선>6호선","3호선>6호선","5900","732","1","6","160","183","23","1","False","98","140","199",,,,
"독바위->녹번","baseline","독바위","녹번",,"독바위>연신내>연신내>불광>녹번","6호선>6호선>3호선>3호선>3호선","6호선>3호선","3981","657","1","4","144","209","65","0","True","91","109","175",,,,
"독바위->녹번","alternative","독바위","녹번","응암","독바위>연신내>구산>응암>새절>증산>디지털미디어시티>월드컵경기장>마포구청>망원>합정>합정>홍대입구>신촌>이대>아현>충정로>시청>을지로입구>을지로3가>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번","6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선","6호선>2호선>3호선","25731","2562","2","27","136","136","0","24","False","67","90","108","21750","1905","8","False"
"독바위->불광","baseline","독바위","불광",,"독바위>연신내>연신내>불광","6호선>6호선>3호선>3호선","6호선>3호선","2881","567","1","3","141","206","65","0","True","79","75","157",,,,
"독바위->불광","alternative","독바위","불광","녹번","독바위>연신내>연신내>불광>녹번>홍제>무악재>독립문>경복궁>안국>종로3가>을지로3가>충무로>충무로>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광","6호선>6호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선","6호선>3호선","22281","2187","2","22","144","235","91","16","False","122","168","241","19400","1620","-3","False"
