od_id,station,station_line,station_lon,station_lat,facility_source,facility_name,facility_address,facility_lon,facility_lat,straight_line_distance_m,station_node,facility_node,station_snap_distance_m,facility_snap_distance_m,snap_status,route_id,route_type,node_count,route_length_m,steps_count,flood_feature_count_2022,flood_overlap_length_m_2022,flood_feature_count_2023,flood_overlap_length_m_2023,flood_feature_count_2024,flood_overlap_length_m_2024,flood_feature_count_2025,flood_overlap_length_m_2025,flood_feature_count_unique_total,flood_overlap_length_m_total,flood_overlap_ratio,mobility_facility_count_near_route,support_point_count_near_route,existing_safe_route_overlap_or_proximity_count,baseline_distance,alternative_distance,distance_delta_m,distance_delta_ratio,baseline_flood_overlap_m,alternative_flood_overlap_m,flood_overlap_reduction_m,flood_overlap_reduction_ratio,historical_flood_trace_avoiding_candidate
od_1001,불광,6호선,126.92939,37.610873,pedestrian_support_point,빗물받이,서울특별시 은평구 역촌동  45-42,126.9138,37.6058,1487.259,5930698997,3822944309,11.603222454866666,11.322849198399426,PASS,od_1001_baseline,baseline,48,1643.153,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,16,17,15,1643.153,,0.0,0.0,0.0,,0.0,0.0,False
od_1001,불광,6호선,126.92939,37.610873,pedestrian_support_point,빗물받이,서울특별시 은평구 역촌동  45-42,126.9138,37.6058,1487.259,5930698997,3822944309,11.603222454866666,11.322849198399426,PASS,od_1001_alternative_1,alternative_1,46,1648.807,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,16,17,15,1643.153,1648.807,5.654,0.003441,0.0,0.0,0.0,,False
od_1001,불광,6호선,126.92939,37.610873,pedestrian_support_point,빗물받이,서울특별시 은평구 역촌동  45-42,126.9138,37.6058,1487.259,5930698997,3822944309,11.603222454866666,11.322849198399426,PASS,od_1001_alternative_2,alternative_2,48,1649.189,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,16,17,15,1643.153,1649.189,6.036,0.003673,0.0,0.0,0.0,,False
od_1003,불광,6호선,126.92939,37.610873,pedestrian_support_point,빗물받이,서울특별시 은평구 갈현동  459-1,126.916,37.6188,1473.659,5930698997,3823586730,11.603222454866666,9.00507658707072,PASS,od_1003_baseline,baseline,37,1614.453,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,8,25,18,1614.453,,0.0,0.0,0.0,,0.0,0.0,False
od_1003,불광,6호선,126.92939,37.610873,pedestrian_support_point,빗물받이,서울특별시 은평구 갈현동  459-1,126.916,37.6188,1473.659,5930698997,3823586730,11.603222454866666,9.00507658707072,PASS,od_1003_alternative_1,alternative_1,33,1617.813,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,8,25,18,1614.453,1617.813,3.36,0.002081,0.0,0.0,0.0,,False
od_1005,불광,6호선,126.92939,37.610873,pedestrian_support_point,빗물받이,서울특별시 은평구 불광로 179-6,126.9294,37.6243,1490.254,5930698997,3823588067,11.603222454866666,11.697661414695668,PASS,od_1005_baseline,baseline,45,1713.297,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,21,63,48,1713.297,,0.0,0.0,0.0,,0.0,0.0,False
od_1005,불광,6호선,126.92939,37.610873,pedestrian_support_point,빗물받이,서울특별시 은평구 불광로 179-6,126.9294,37.6243,1490.254,5930698997,3823588067,11.603222454866666,11.697661414695668,PASS,od_1005_alternative_1,alternative_1,41,1723.163,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,3,48,46,1713.297,1723.163,9.866,0.005758,0.0,0.0,0.0,,False
od_1005,불광,6호선,126.92939,37.610873,pedestrian_support_point,빗물받이,서울특별시 은평구 불광로 179-6,126.9294,37.6243,1490.254,5930698997,3823588067,11.603222454866666,11.697661414695668,PASS,od_1005_alternative_2,alternative_2,44,1755.308,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,52,46,1713.297,1755.308,42.011,0.024521,0.0,0.0,0.0,,False
od_101,연신내,6호선,126.920625,37.618636,mobility_facility,향이나는야채,서울특별시 은평구 진흥로1길 56,126.9183,37.6054,1483.327,11230505686,3819767942,20.028299588559467,12.858120390720913,PASS,od_101_baseline,baseline,44,1625.621,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,11,30,26,1625.621,,0.0,0.0,0.0,,0.0,0.0,False
od_101,연신내,6호선,126.920625,37.618636,mobility_facility,향이나는야채,서울특별시 은평구 진흥로1길 56,126.9183,37.6054,1483.327,11230505686,3819767942,20.028299588559467,12.858120390720913,PASS,od_101_alternative_1,alternative_1,45,1630.769,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,9,28,26,1625.621,1630.769,5.148,0.003167,0.0,0.0,0.0,,False
od_1020,불광,6호선,126.92939,37.610873,pedestrian_support_point,장애인화장실,서울특별시 은평구 구산동  199-19,126.9127,37.613,1492.405,5930698997,3820983735,11.603222454866666,53.83338009875228,PASS,od_1020_baseline,baseline,45,1954.803,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,3,16,20,1954.803,,0.0,0.0,0.0,,0.0,0.0,False
od_1020,불광,6호선,126.92939,37.610873,pedestrian_support_point,장애인화장실,서울특별시 은평구 구산동  199-19,126.9127,37.613,1492.405,5930698997,3820983735,11.603222454866666,53.83338009875228,PASS,od_1020_alternative_1,alternative_1,45,1956.31,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,3,16,20,1954.803,1956.31,1.507,0.000771,0.0,0.0,0.0,,False
od_1026,불광,6호선,126.92939,37.610873,pedestrian_support_point,장애인화장실,서울특별시 은평구 연서로27길 31-6,126.9158,37.6186,1474.845,5930698997,3823586667,11.603222454866666,31.82071986851436,PASS,od_1026_baseline,baseline,38,1671.777,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,8,28,18,1671.777,,0.0,0.0,0.0,,0.0,0.0,False
od_1026,불광,6호선,126.92939,37.610873,pedestrian_support_point,장애인화장실,서울특별시 은평구 연서로27길 31-6,126.9158,37.6186,1474.845,5930698997,3823586667,11.603222454866666,31.82071986851436,PASS,od_1026_alternative_1,alternative_1,34,1675.136,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,8,28,18,1671.777,1675.136,3.359,0.002009,0.0,0.0,0.0,,False
od_103,연신내,6호선,126.920625,37.618636,mobility_facility,예랑헤어,서울특별시 은평구 통일로63길 10,126.9308,37.608,1483.442,11230505686,3811140023,20.028299588559467,16.466651776855677,PASS,od_103_baseline,baseline,37,1708.929,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,8,34,31,1708.929,,0.0,0.0,0.0,,0.0,0.0,False
od_1073,불광,6호선,126.92939,37.610873,pedestrian_support_point,갈현동미미아파트,서울특별시 은평구 갈현로 238,126.9152,37.6182,1493.629,5930698997,3823586665,11.603222454866666,16.101913760818515,PASS,od_1073_baseline,baseline,40,1764.154,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,8,30,18,1764.154,,0.0,0.0,0.0,,0.0,0.0,False
od_1073,불광,6호선,126.92939,37.610873,pedestrian_support_point,갈현동미미아파트,서울특별시 은평구 갈현로 238,126.9152,37.6182,1493.629,5930698997,3823586665,11.603222454866666,16.101913760818515,PASS,od_1073_alternative_1,alternative_1,36,1767.513,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,8,30,18,1764.154,1767.513,3.359,0.001904,0.0,0.0,0.0,,False
od_1157,불광,6호선,126.92939,37.610873,pedestrian_support_point,맨홀,서울특별시 은평구 구산동  195-3,126.9129,37.6132,1478.685,5930698997,3820983733,11.603222454866666,54.227281238066595,PASS,od_1157_baseline,baseline,45,1931.926,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,4,31,28,1931.926,,0.0,0.0,0.0,,0.0,0.0,False
od_1157,불광,6호선,126.92939,37.610873,pedestrian_support_point,맨홀,서울특별시 은평구 구산동  195-3,126.9129,37.6132,1478.685,5930698997,3820983733,11.603222454866666,54.227281238066595,PASS,od_1157_alternative_1,alternative_1,43,1933.044,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,31,28,1931.926,1933.044,1.118,0.000579,0.0,0.0,0.0,,False
od_1157,불광,6호선,126.92939,37.610873,pedestrian_support_point,맨홀,서울특별시 은평구 구산동  195-3,126.9129,37.6132,1478.685,5930698997,3820983733,11.603222454866666,54.227281238066595,PASS,od_1157_alternative_2,alternative_2,43,1935.971,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,31,28,1931.926,1935.971,4.045,0.002094,0.0,0.0,0.0,,False
od_121,연신내,6호선,126.920625,37.618636,mobility_facility,정혜영헤어큐,"서울특별시 은평구 진관1로 21-9, 106동 (진관동, 은평뉴타운 박석고개)",126.921,37.6321,1494.729,11230505686,11150009642,20.028299588559467,20.367148514425438,PASS,od_121_baseline,baseline,26,1773.485,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,16,31,18,1773.485,,0.0,0.0,0.0,,0.0,0.0,False
