od_id,station,station_line,station_lon,station_lat,facility_source,facility_name,facility_address,facility_lon,facility_lat,straight_line_distance_m,geometry,station_node,facility_node,station_snap_distance_m,facility_snap_distance_m,snap_status
od_2577,불광,3호선,126.92982,37.610553,pedestrian_support_point,맨홀,서울특별시 은평구 통일로 895-2,126.9197,37.6214,1499.228,POINT (126.9197 37.6214),5930698997,11230505659,50.209801741355435,39.58349013296481,PASS
od_2582,불광,3호선,126.92982,37.610553,pedestrian_support_point,과속방지턱,서울특별시 은평구 갈현동  459-1,126.916,37.6184,1499.114,POINT (126.916 37.6184),5930698997,3823586667,50.209801741355435,9.300003614407768,PASS
od_909,불광,6호선,126.92939,37.610873,mobility_facility,정보부동산중개인사무소,서울특별시 은평구 통일로 581-2,126.937,37.5988,1499.024,POINT (126.937 37.5988),5930698997,3811678114,11.603222454866666,29.286734448860155,PASS
od_898,불광,6호선,126.92939,37.610873,mobility_facility,청수공인중개사사무소,서울특별시 은평구 통일로 581-2,126.937,37.5988,1499.024,POINT (126.937 37.5988),5930698997,3811678114,11.603222454866666,29.286734448860155,PASS
od_2313,불광,3호선,126.92982,37.610553,mobility_facility,한라똥돼지,서울특별시 은평구 역말로 34,126.914,37.6057,1497.122,POINT (126.914 37.6057),5930698997,3822944309,50.209801741355435,9.910607128182754,PASS
od_67,연신내,6호선,126.920625,37.618636,mobility_facility,13. 역말 사거리 ,서울특별시 은평구 역말로 41,126.9147,37.606,1496.851,POINT (126.9147 37.606),11230505686,4584756059,20.028299588559467,28.081587968804246,PASS
od_96,연신내,6호선,126.920625,37.618636,mobility_facility,연세부동산,서울특별시 은평구 역말로 41,126.9147,37.606,1496.851,POINT (126.9147 37.606),11230505686,4584756059,20.028299588559467,28.081587968804246,PASS
od_152,연신내,6호선,126.920625,37.618636,mobility_facility,행복양꼬치,서울특별시 은평구 역말로 41,126.9147,37.606,1496.851,POINT (126.9147 37.606),11230505686,4584756059,20.028299588559467,28.081587968804246,PASS
od_17,연신내,6호선,126.920625,37.618636,mobility_facility,이정표1,서울특별시 은평구 서오릉로23길 8-5,126.9042,37.6153,1496.644,POINT (126.9042 37.6153),11230505686,11655534381,20.028299588559467,3.4990310891707592,PASS
od_1331,응암,6호선,126.915577,37.598605,mobility_facility,쉼터3,서울특별시 은평구 신사동 산 93-16,126.9006,37.5923,1496.373,POINT (126.9006 37.5923),8735757178,11729856050,11.20363638320314,76.79361647509394,PASS
od_338,연신내,6호선,126.920625,37.618636,pedestrian_support_point,맨홀,서울특별시 은평구 역촌동  45-42,126.9151,37.6059,1495.365,POINT (126.9151 37.6059),11230505686,10789210641,20.028299588559467,8.475372817365667,PASS
od_569,독바위,6호선,126.933031,37.618456,pedestrian_support_point,빗물받이,서울특별시 은평구 연서로27길 26,126.9161,37.6188,1495.248,POINT (126.9161 37.6188),3824954278,3823586730,2.93341759236071,3.89268808680543,PASS
od_2929,연신내,3호선,126.921038,37.619229,pedestrian_support_point,불광역3호선.서울혁신파크,서울특별시 은평구 진흥로 200,126.9316,37.6087,1495.075,POINT (126.9316 37.6087),13357342120,11204976882,32.16422242836125,1.9067441159293512,PASS
od_2244,불광,3호선,126.92982,37.610553,mobility_facility,임마누엘역촌공동체,서울특별시 은평구 진흥로1길 13-19,126.9174,37.6014,1494.908,POINT (126.9174 37.6014),5930698997,3811554620,50.209801741355435,10.390713810596353,PASS
od_31,연신내,6호선,126.920625,37.618636,mobility_facility,정혜영헤어큐,"서울특별시 은평구 진관1로 21-9, 106동 (진관동, 은평뉴타운 박석고개)",126.921,37.6321,1494.729,POINT (126.921 37.6321),11230505686,11150009642,20.028299588559467,20.367148514425438,PASS
